q,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,var_qi,i,Q,var_agg_i
0,36224774512.782646,35417889480.88367,34861529498.935104,34339025285.53329,33919159331.01006,33512228281.382206,33293674756.960598,33141534149.63231,33154262996.66212,33235143827.182865,33404588931.23166,33653513599.07859,34106988114.750618,34699163179.482544,35455460487.131516,36166874828.97558,0.00017953130986690525,0,10,0.00044275640531122744
1,36426789358.89024,35617736515.93899,34735412565.70849,34142037167.36504,33718840834.22337,33231670027.24013,33148183166.667282,32969159240.602352,32903275628.22558,33139683201.557545,33574965207.175083,34007585471.632545,34129161137.651337,34599835274.887985,35382836176.65993,36206128335.54068,0.0002088567879121676,0,10,0.00044275640531122744
2,36026850850.193375,34689509875.11927,34462959454.202934,33879784951.121487,33594889562.89056,33251522655.15981,32834809390.106297,32948175469.71755,33098241851.08805,33282224626.576263,33249028662.824654,34094882766.435356,34806119617.74574,35456164734.40696,36340243250.86777,37413955390.20383,0.00028941775642224655,0,10,0.00044275640531122744
3,36448436317.477776,35176318740.4639,35088134960.431885,34031794755.906414,33574224880.145744,33555133984.10058,33242702741.138012,32891128801.347103,33373381100.60245,33489203087.222874,32766393876.832016,33361456616.00305,34410101234.145935,34800574310.24848,35872554277.188,36287362551.66215,0.00022810760926538046,0,10,0.00044275640531122744
4,37298111639.865715,37290690690.17964,36593776808.02381,36055978113.14539,35171888557.93058,34291362189.529858,33623512663.27611,33921751934.934788,33487729926.34211,34176195372.419144,33071875078.800262,32671767993.94058,33542795229.80868,32729176430.57776,33999175515.167522,34576462031.75466,0.0003573631714884437,0,10,0.00044275640531122744
5,36067676277.41245,34289983721.105053,34362278413.64704,33787017286.87948,33994824252.923,35230503491.08523,34145006861.7428,33356149771.25044,33029698068.26367,33406389605.938168,33244841199.332027,32862521691.34991,32827362372.408115,33101879143.745274,33576528559.54699,33857366001.216568,0.00012313649939810719,0,10,0.00044275640531122744
6,32335304301.2657,31643329868.03216,31903311107.492737,33911378827.6943,32494099358.84606,32200491525.542446,31874535185.55557,31679186359.09666,31997625606.15984,33185450539.981438,35749763324.24474,36234440764.56401,36937220177.05618,37207034164.46966,39151114451.77764,39668196501.319626,0.0011955329520080117,0,10,0.00044275640531122744
7,29801201266.142815,30632764961.384476,28739499184.566383,27981404086.267178,29098631436.987743,29684159872.503593,30853547729.370945,32806284100.410862,33400267926.526855,35774631580.7947,38740665331.971634,41243546738.48741,40205641840.529076,37484381085.70879,36383267693.05661,35745321410.05761,0.003077731764103275,0,10,0.00044275640531122744
8,27045285025.6484,26459125652.99701,31059504184.12016,31059336079.87545,27371305495.025993,26843304836.48294,32938553848.38092,29685643711.147293,26896837139.166,27307542313.10542,26006529147.155033,28528186437.381927,25947463977.651745,23979226448.847504,27010748087.264275,32305669505.570705,0.0014786198897216267,0,10,0.00044275640531122744
9,81621350492.8097,51824549236.10716,42340825394.849045,46041795032.22563,49408163717.99022,39652634958.351906,30533665127.66143,30237704703.37254,28941536690.086094,27616543891.375328,33276998973.384575,35045502682.86605,40305310849.03264,32959794179.682465,35436643906.94518,37773657616.52525,0.014138387873711418,0,10,0.00044275640531122744
