CPA ID 6,CPA label 6,CPA ID 4,CPA ID 3,CPA ID 2,CPA label 4,CPA label 3,CPA label 2,CPA ID 1
101111,"Meat of bovine animals, fresh or chilled",1011,101,10,Processed and preserved meat,Preserved meat and meat products,Food products,C
101112,"Meat of swine, fresh or chilled",1011,101,10,Processed and preserved meat,Preserved meat and meat products,Food products,C
101113,"Meat of sheep, fresh or chilled",1011,101,10,Processed and preserved meat,Preserved meat and meat products,Food products,C
101114,"Meat of goats, fresh or chilled",1011,101,10,Processed and preserved meat,Preserved meat and meat products,Food products,C
101115,"Meat of horses and other equines, fresh or chilled",1011,101,10,Processed and preserved meat,Preserved meat and meat products,Food products,C
101120,"Edible offal of bovine animals, swine, sheep, goats, horses and other equines, fresh or chilled",1011,101,10,Processed and preserved meat,Preserved meat and meat products,Food products,C
101131,"Meat of bovine animals, frozen",1011,101,10,Processed and preserved meat,Preserved meat and meat products,Food products,C
101132,"Meat of swine, frozen",1011,101,10,Processed and preserved meat,Preserved meat and meat products,Food products,C
101133,"Meat of sheep, frozen",1011,101,10,Processed and preserved meat,Preserved meat and meat products,Food products,C
101134,"Meat of goats, frozen",1011,101,10,Processed and preserved meat,Preserved meat and meat products,Food products,C
101135,"Meat of horses and other equines, frozen",1011,101,10,Processed and preserved meat,Preserved meat and meat products,Food products,C
101139,"Other meat and edible offal, fresh, chilled or frozen",1011,101,10,Processed and preserved meat,Preserved meat and meat products,Food products,C
101141,"Pulled wool, greasy, including fleece-washed pulled wool",1011,101,10,Processed and preserved meat,Preserved meat and meat products,Food products,C
101142,Whole raw hides and skins of bovine or equine animals,1011,101,10,Processed and preserved meat,Preserved meat and meat products,Food products,C
101143,Other raw hides and skins of bovine or equine animals,1011,101,10,Processed and preserved meat,Preserved meat and meat products,Food products,C
101144,Raw hides and skins of sheep or lambs,1011,101,10,Processed and preserved meat,Preserved meat and meat products,Food products,C
101145,Raw hides and skins of goats or kids,1011,101,10,Processed and preserved meat,Preserved meat and meat products,Food products,C
101150,"Fats of bovine animals, sheep, goats or pigs",1011,101,10,Processed and preserved meat,Preserved meat and meat products,Food products,C
101160,"Raw offal, inedible",1011,101,10,Processed and preserved meat,Preserved meat and meat products,Food products,C
101199,Sub-contracted operations as part of manufacturing of processed and preserved meat,1011,101,10,Processed and preserved meat,Preserved meat and meat products,Food products,C
