q,m,s,nqs,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,parts
0,0,0.02,202378,14016368892.647415,14070020169.41552,14264025437.740196,14517056415.537262,14149390864.600246,14157340283.418144,14157855308.679436,14271499683.940569,14448736467.037216,14566008351.322668,14689770657.487486,14942342832.713903,15033125677.942883,15203097559.844524,14384206863.646633,14440268288.696423,15162326601.51826,Q
1,0,0.02,4952,12830171756.642946,13108561897.345995,13422249887.450583,13770927694.770409,14389405456.287685,14635875972.272724,14730098607.47445,14858687412.440624,14861784332.136555,15229616682.82178,14983342337.620234,14793479433.989925,14993311495.43304,14885478239.835154,14999972034.316507,15006222229.04512,14949910682.215103,Q
2,0,0.02,1691,12291139242.487724,12579093959.351284,12982227687.629677,13466672916.453114,13989953104.246786,14197384948.404348,14393439304.063007,14553883375.520203,14958865133.669144,15474556571.893295,15319822844.612276,15450731689.933737,15682977950.762608,15358903724.594433,15337117422.545769,15149661023.395044,15204568978.457869,Q
3,0,0.02,715,11831402883.805899,12338209005.740465,12660246219.822845,13143346842.735931,13847968283.573154,14167619026.539062,14320486860.984528,14514843293.449364,14613484437.138243,14908956034.761963,15399481639.767567,15667515586.340164,15682059830.788336,15613048009.988375,16066224414.049303,16021030243.817316,15651728403.14773,Q
4,0,0.02,330,10963949890.303612,11218106683.921673,12207728622.740725,12445863841.152805,12824423089.475504,13772359743.325901,13726574000.47056,14171773159.177082,14982634583.133854,15182501220.391785,15877677592.763569,16009797307.992516,16528791465.438362,16406843383.02462,16697408141.512375,16455482589.278818,16292916549.310019,Q
5,0,0.02,149,10388065250.98449,11209905478.252544,11624480955.992462,11976023003.574951,13413019729.747192,12974847579.490711,13629398083.61598,14354791068.693035,14698530136.553453,15358013525.697197,15710744272.258476,15443346505.630035,16333212305.701313,16881060418.532616,16620981299.819077,17750491567.38073,17668030998.481213,Q
6,0,0.02,57,11279366532.456802,11279366532.456802,11598574663.505516,12561164592.609066,12561164592.609066,13044436835.297203,13154900518.261768,14690935883.268404,14886712981.97972,15187076730.157602,15187076730.157602,15999764568.024256,16328958225.66713,16328958225.66713,15848179042.935448,15848179042.935448,15848179042.935448,Q
7,0,0.02,25,10787664836.19004,10787664836.19004,10900759415.022148,10900759415.022148,10900759415.022148,12882960162.754053,14502181494.585583,15710606817.333336,17311587366.733116,16822860800.349644,17108411478.865948,17108411478.865948,17108411478.865948,17108411478.865948,17108411478.865948,17108411478.865948,17108411478.865948,Q
8,0,0.02,10,9674710500.685783,9674710500.685783,10512471250.044327,11918788109.417274,11918788109.417274,11918788109.417274,11918788109.417274,11918788109.417274,11918788109.417274,11918788109.417274,11918788109.417274,11918788109.417274,19819576649.70976,19819576649.70976,19819576649.70976,18981815900.351215,18981815900.351215,Q
9,0,0.02,3,9644285111.793074,9644285111.793074,16060774603.59578,16060774603.59578,16060774603.59578,16060774603.59578,16060774603.59578,16060774603.59578,16060774603.59578,16060774603.59578,16060774603.59578,16060774603.59578,16060774603.59578,16060774603.59578,16060774603.59578,16060774603.59578,16060774603.59578,Q
0,0,0.05,202375,14011662949.261883,14065314226.029987,14259319494.354664,14509913871.367918,14142248320.430902,14150197739.2488,14150712764.510092,14264357139.771225,14441593922.867872,14558865807.153324,14682628113.318142,14938505442.369041,15029288287.59802,15199260169.499662,14380369473.301771,14436430898.35156,15158489211.173397,Q
