q,m,s,nqs,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,parts
0,0,0.02,202683,14487590695.853418,14729539462.213497,14870093734.245365,14958541987.326138,14592822806.937819,14537466896.919695,14577312414.305927,14752038107.288464,15017475520.333483,15119136759.659937,15203025094.085104,15486408494.32907,15462716382.511568,15568291067.64799,14950365801.063868,15022925498.015633,15715486021.06921,Q
1,0,0.02,4799,13429100452.42299,13872927120.912054,14177041273.299118,14421080590.933905,14912490833.187042,15148908262.967106,15248859452.155407,15288874308.352276,15452630270.278316,15670246698.319878,15524157530.042238,15308021385.674067,15609744939.11901,15327662139.670658,15319664555.397682,15190201284.453321,15091814094.681149,Q
2,0,0.02,1625,12649652727.090708,13087404080.339914,13586850983.69704,13863410890.548546,14240143698.773872,14561087722.139406,14783783062.072397,15006997265.793455,15328634930.913963,15645586922.451218,15684253099.300842,16118480246.26556,16024521178.313614,15996489126.936546,16226121289.637396,16102269046.222715,16186722680.582739,Q
3,0,0.02,692,11919109923.12497,12247652764.779272,12838575070.682585,13390415837.689184,14165268521.007858,14626441852.192566,14970084473.407413,15565164605.565403,15635662024.174334,15510662769.86736,15732157193.516657,15860635976.357838,16176724036.567415,16490250824.292995,16496116600.49109,16680545745.891008,16334420288.471533,Q
4,0,0.02,303,10939587199.561443,11280728029.625948,11910187754.01157,12221800429.91219,12995248937.693218,13667810986.85411,13842500316.148006,14521803431.382149,15590307735.758198,16197753377.365383,16615784625.942043,16564113287.230469,17336391662.85883,17314954058.859318,18174950346.33802,17980279784.683502,17885122957.673325,Q
5,0,0.02,135,11586276147.236574,12248790080.461742,12581531241.6552,13126545065.231325,14208207603.606113,14584246457.132782,15029753965.769764,15246100087.191317,15102877539.061926,15640824788.603836,15640824788.603836,16102161028.432322,16816499628.033459,16750713963.87155,16272904249.63933,16064663301.314869,16212831074.20551,Q
6,0,0.02,50,12322075090.360071,12322075090.360071,12615235379.436995,13327158450.770943,13831977330.92382,14728652492.386236,14728652492.386236,14728652492.386236,15569317961.241781,15080591394.858309,15366142073.374613,16621443033.192636,16621443033.192636,16473603307.028963,15966513468.835894,15965671802.823774,15965671802.823774,Q
7,0,0.02,16,11413244551.202806,11413244551.202806,11526339130.034916,12932655989.407864,12932655989.407864,14018181575.677351,14018181575.677351,14018181575.677351,14018181575.677351,14018181575.677351,14018181575.677351,14018181575.677351,14018181575.677351,14015821661.688347,14018181575.677351,14015821661.688347,32265153516.677357,Q
8,0,0.02,5,9365634875.056988,9365634875.056988,10203395624.415531,10203395624.415531,10203395624.415531,10203395624.415531,10203395624.415531,14308101115.133783,14308101115.133783,14308101115.133783,14308101115.133783,14308101115.133783,22208889655.42627,22208889655.42627,22208889655.42627,21371128906.067726,21371128906.067726,Q
9,0,0.02,2,10421259205.821003,10421259205.821003,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,Q
0,0,0.05,202680,14485179246.66246,14727128013.02254,14867682285.054407,14956130538.13518,14590411357.74686,14535055447.728737,14571559275.29112,14746284968.273657,15011722381.318676,15113383620.64513,15197271955.070297,15480655355.314262,15456963243.496761,15552681514.676191,14934756248.09207,15007315945.043835,15702287917.28837,Q
1,0,0.05,4801,13424440890.868732,13868267559.357792,14172381711.744856,14416421029.379646,14907831271.63278,15144248701.412844,15247541580.424994,15287556436.621859,15451312398.547903,15668928826.58946,15522839658.311829,15306703513.943653,15608427067.388601,15336200681.897242,15328203097.624266,15198739826.679905,15097941187.716772,Q
2,0,0.05,1625,12643937926.055544,13081689279.30475,13581136182.661877,13857696089.513382,14234428897.738705,14555372921.104242,14778068261.037231,15001282464.758291,15322920129.878798,15639872121.41605,15678538298.265676,16112765445.230396,16018806377.278448,15990774325.90138,16220406488.60223,16096554245.187548,16181007879.547573,Q
3,0,0.05,693,11931895734.90535,12260438576.559656,12851360882.462969,13403201649.469568,14178054332.788239,14639227663.97295,14982870285.187798,15577950417.345787,15648447835.954718,15523448581.647743,15744943005.297045,15873421788.138222,16189509848.3478,16503036636.07338,16508902412.271471,16693331557.671392,16347206100.251913,Q
4,0,0.05,303,10939587199.561443,11280728029.625948,11910187754.01157,12221800429.91219,12995248937.693218,13667810986.85411,13842500316.148006,14521803431.382149,15590307735.758198,16197753377.365383,16615784625.942043,16564113287.230469,17336391662.85883,17314954058.859318,18174950346.33802,17980279784.683502,17885122957.673325,Q
5,0,0.05,135,11586276147.236574,12248790080.461742,12581531241.6552,13126545065.231325,14208207603.606113,14584246457.132782,15029753965.769764,15246100087.191317,15102877539.061926,15640824788.603836,15640824788.603836,16102161028.432322,16816499628.033459,16750713963.87155,16272904249.63933,16064663301.314869,16212831074.20551,Q
6,0,0.05,50,12322075090.360071,12322075090.360071,12615235379.436995,13327158450.770943,13831977330.92382,14728652492.386236,14728652492.386236,14728652492.386236,15569317961.241781,15080591394.858309,15366142073.374613,16621443033.192636,16621443033.192636,16473603307.028963,15966513468.835894,15965671802.823774,15965671802.823774,Q
7,0,0.05,16,11413244551.202806,11413244551.202806,11526339130.034916,12932655989.407864,12932655989.407864,14018181575.677351,14018181575.677351,14018181575.677351,14018181575.677351,14018181575.677351,14018181575.677351,14018181575.677351,14018181575.677351,14015821661.688347,14018181575.677351,14015821661.688347,32265153516.677357,Q
8,0,0.05,5,9365634875.056988,9365634875.056988,10203395624.415531,10203395624.415531,10203395624.415531,10203395624.415531,10203395624.415531,14308101115.133783,14308101115.133783,14308101115.133783,14308101115.133783,14308101115.133783,22208889655.42627,22208889655.42627,22208889655.42627,21371128906.067726,21371128906.067726,Q
9,0,0.05,2,10421259205.821003,10421259205.821003,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,Q
0,0,0.1,202663,14465566817.428978,14705477206.462269,14846031478.494137,14934479731.57491,14563992530.588985,14508636620.570862,14545140448.133245,14719866141.115782,14982922487.10171,15077479265.548601,15161367599.973768,15444751000.217733,15421058888.400232,15510465064.448643,14895570927.072498,14968754572.187557,15663726544.432093,Q
1,0,0.1,4810,13417356654.934677,13863221700.750526,14167335853.137587,14411375170.77238,14882369135.157974,15118786564.938038,15222079443.950188,15262094300.147057,15428231329.132195,15655368905.03389,15506863049.775679,15290726905.407503,15592450458.852451,15326536168.492115,15317800124.27549,15187712905.167837,15086914266.204708,Q
2,0,0.1,1630,12670634591.223082,13108385944.472284,13607832847.829412,13884392754.680916,14286309861.371386,14579763385.206005,14802458725.138992,15025672928.860052,15347310593.980558,15620182719.316961,15661265583.147163,16095492730.11188,16001533662.159933,15889742949.36069,16117082442.797203,15993230199.382523,16077683833.742548,Q
3,0,0.1,694,11845968795.947084,12174511637.60139,12765433943.504704,13317274710.511303,14092127393.829973,14580791224.545603,14924433845.760447,15519513977.91844,15590011396.527367,15506675321.440668,15728169745.089973,15856648527.93115,16172736588.140724,16570022037.288485,16575887813.486572,16760316958.886494,16414191501.467014,Q
