q,m,s,nqs,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,parts
0,0,0.02,202212,13749261878.133482,13828376161.720407,13985445023.342463,14218638995.058805,13930141739.69121,13691156059.69857,13677819320.731607,13894111645.206917,14069597457.383245,14232845662.350956,14352485689.61442,14695089417.744276,14658382959.4594,14893212396.898335,14178425768.415613,14544458966.265547,15139371779.065088,Q
1,0,0.02,5008,12352353197.5508,12768486799.39795,13246941680.059126,13575756296.277197,14140983786.517878,14233316653.076422,14362562680.411238,14391210355.966566,14419092960.376448,14954302559.704885,14700579984.774628,14636918921.700468,14900929462.965294,14683471804.306837,14781614508.796879,14953129114.235542,14574195100.682236,Q
2,0,0.02,1713,11903501246.396418,12141375551.339823,12606299789.975996,13347523068.407532,13868270161.409664,14082859759.773014,14146468404.988487,14330933616.84911,14616719589.115763,15123341561.128067,14866960109.517548,15120280356.81382,15069253276.01056,15132099312.472212,15046990350.430428,15293573006.750744,15024953430.445969,Q
3,0,0.02,746,11559791925.401201,12185846351.427368,12714519878.067154,13282223694.236605,14063368629.079266,14059984026.243975,13889174082.310505,14099599329.758661,14295266397.838299,14564508733.342485,14779289545.49372,15016183391.525188,15291819114.21374,15518153248.183128,15476035427.480896,15331004171.90306,15599503051.90545,Q
4,0,0.02,350,10456242714.023626,10632806982.54502,11367913826.836706,11600810030.783342,12511035800.346119,12769048618.73906,12916541558.441206,13847048162.702055,14862776971.03127,15462996746.389585,15914420902.902956,16074277026.42015,16579695769.95006,16590779923.212318,16524854806.284344,16271452705.718601,16156976104.009508,Q
5,0,0.02,162,10317935616.321613,10560018815.394743,10736176600.789263,11077323605.403625,12299809736.546429,13239834433.00762,14069259413.544558,14584320973.552832,15460769316.801598,15712075421.71848,15985565014.5912,16195476097.070911,16320378001.801203,16894388939.32637,16606330544.13333,16637970660.521677,16423109955.48377,Q
6,0,0.02,76,10021673421.749697,10228831465.584286,10974419792.42128,11598381139.726046,12617979734.487724,13394330447.759827,13426141871.491198,14511762837.03403,15325288677.008657,15704030688.233877,15711357959.424376,16511837287.835274,15885505682.064056,15967465984.541649,16015505763.593908,15918451418.227844,15856347687.664333,Q
7,0,0.02,32,10667568007.102936,10731335908.143444,11420867354.118778,12221735155.115929,12342638278.980364,13389517282.137402,13389659672.83773,14555600607.889404,15784034178.01591,15849355386.897165,15886758022.359205,16093228191.219723,15884606952.246002,15678454737.089603,15300476288.14433,15252615879.410686,14458120322.260477,Q
8,0,0.02,9,6000916741.156528,5927585803.776534,6960411544.744659,8530090169.131608,8466470400.466575,8443181055.592199,8437848601.4583435,12458996029.015285,12659688996.224464,12635619485.777098,12629173954.192556,12625668388.650232,19845249416.62984,19955873050.88565,20024953630.38115,19752148626.637863,19588984405.04054,Q
9,0,0.02,2,9937652837.700516,9825193451.93623,16201478687.797989,16594655777.937138,16550881102.977606,16660233311.341644,16743055245.82174,16945322273.05819,17095195841.229265,17205281889.17565,17270492423.931152,17372675054.263657,17032755239.35451,17093188707.290085,17284372247.573353,17261373658.781742,16429716920.063957,Q
0,0,0.05,202211,13684985861.668308,13792012845.913666,13937997886.09243,14250950090.012249,13955584099.321066,13678305085.413671,13638387716.29414,13882932029.447346,14087889889.90356,14288983792.551641,14485470487.46541,14850344868.286139,14679422879.143435,15028393886.523556,14356516409.553646,14737516423.603123,15343863704.495699,Q
1,0,0.05,5009,12101123699.928102,12603387757.268084,13112698495.851336,13553755652.0616,14118121296.086481,14205950897.721846,14336947582.71084,14412593279.53992,14489430873.732893,15069091797.879719,14895540316.450453,14863530073.357664,14948987446.358192,14863430494.688782,15069356256.015049,15209525635.272638,14779796011.932785,Q
2,0,0.05,1713,11621310651.093676,11965952977.153263,12469234985.180143,13320750255.272068,13847578399.742594,14045972573.039986,14099009835.751223,14357987841.667017,14702144570.592718,15264072268.427786,15074709004.613445,15344882220.008749,15102390865.245367,15322786848.80776,15322049170.795551,15536599652.793606,15232352891.011904,Q
3,0,0.05,746,11229356630.111204,11955410936.40796,12562225630.016907,13239825162.406746,14070706713.33262,14109236711.542204,13889010451.950195,14131889761.105127,14389903134.174599,14734829858.904715,15007448242.511202,15287170444.269136,15312996123.683144,15667468194.253979,15736415955.176924,15547334481.103981,15768899019.763103,Q
4,0,0.05,350,10183826759.814335,10462630115.633791,11193004110.02307,11593862635.268633,12489031624.24319,12790513239.297268,12897402018.972528,13817447501.970518,14861783561.96923,15618485930.201754,16113201257.096436,16273399133.287085,16594739155.223406,16798086634.813307,16854237596.645931,16555036039.799112,16366764935.63086,Q
5,0,0.05,162,9889148740.326689,10254043882.56564,10510066289.48862,10931417855.556995,12147073339.669313,13137637797.366339,13977594859.714739,14689603755.51823,15624912887.851387,15939105914.207333,16311406913.318405,16550913527.383633,16422382983.40218,17125380411.169193,16978378303.705307,16995570424.16762,16580750370.823767,Q
6,0,0.05,76,9587022241.517199,9873611759.658918,10623214984.364538,11413013407.712364,12438507294.385204,13263093782.020533,13339767629.333622,14392778443.937443,15451844454.734772,15988071966.161858,16136256309.687773,16924659898.849438,16082301193.291502,16372430332.017006,16477504953.2845,16255260036.483036,16111070266.011774,Q
7,0,0.05,32,10351506393.126495,10513667108.837439,11233334302.411594,12122751831.61094,12357745971.91418,13342914788.142656,13335339944.842773,14444018812.355854,15602782872.068539,16010508309.407478,16108237728.468657,16420435224.78483,15947728217.573301,15982740508.324446,15752529701.798855,15637201815.373589,14602971344.818922,Q
8,0,0.05,9,5886285802.167637,5702865179.708034,7020580507.116921,8849899615.061651,8683223345.972273,8627768116.303188,8615180305.659414,12512605550.928467,13018845602.509928,12969568254.225498,12956111802.120714,12939111969.964304,19194470194.057804,19609625315.4183,19782479177.605297,20148072023.856808,19748207130.350994,Q
9,0,0.05,2,9253994889.36865,8994405807.622217,15292743417.792065,16236624339.766083,16129738138.301186,16397692913.288363,16602794412.375412,17108140194.652958,17489682735.2125,17773080240.088867,17940726910.78898,18209915810.05423,17330348514.60863,17484690013.601093,17982607388.94263,17925657653.909313,15844613218.441422,Q
0,0,0.1,202201,13691085180.865213,13830854811.092697,13949345647.547651,14399139341.853664,14085665024.001877,13740117703.25279,13652523734.249554,13942983951.695398,14193726645.743126,14467622248.826214,14799250664.356752,15201772055.059557,14795671165.779942,15333175033.73738,14743552210.55898,15145138160.666399,15784875960.622343,Q
1,0,0.1,5016,11801113493.276525,12425065578.439363,12978679385.32519,13604768368.290539,14164497134.820715,14230654293.105328,14362114353.042925,14522682974.411684,14683363066.746937,15351682492.953724,15315543702.26953,15318097701.442905,15098484222.61224,15242112379.391123,15635329769.824804,15736030012.396025,15242721027.545748,Q
2,0,0.1,1714,11270123454.408104,11771781061.12461,12332058284.496683,13388662813.243061,13913247074.954693,14072100264.825909,14110085121.246006,14486259857.062216,14896563642.838701,15546847115.812706,15481447903.15614,15798468256.144356,15224446555.39038,15718609175.152876,15868300672.435993,16032026721.031597,15693337038.254038,Q
