s,m,diag,compA,compB,count,mean,sum,std,pct10,pct25,pct75,pct90
0.02,0,diag,FE,FE,10,6262789857958072.0,6.262789857958072e+16,608471819193853.2,5657773331078894.0,5908193230996869.0,6769302309008626.0,6919553204628990.0
0.02,0,diag,FE,base,10,6.151944352281248e+16,6.151944352281248e+17,2.8990443324541108e+16,2.8489533675100416e+16,4.809602212905976e+16,7.639048842402102e+16,9.615580748373906e+16
0.02,0,diag,FE,noise,10,-754412169609272.1,-7544121696092721.0,3434126982722930.5,-3424903249096960.0,-1836873868392139.8,1252974328775530.5,2097582462306377.0
0.02,0,diag,base,FE,10,6.151944352281248e+16,6.151944352281248e+17,2.8990443324541108e+16,2.8489533675100416e+16,4.809602212905976e+16,7.639048842402102e+16,9.615580748373906e+16
0.02,0,diag,base,base,10,1.3997392867053824e+18,1.3997392867053824e+19,1.0761646091816813e+18,2.3553801488315517e+17,6.138334605759631e+17,1.7712090193597002e+18,2.446979974546188e+18
0.02,0,diag,base,noise,10,360001479154970.0,3600014791549700.0,3.096803500743863e+16,-4.008694998894682e+16,-2.041274899090967e+16,8947413671061595.0,4.184172342087216e+16
0.02,0,diag,noise,FE,10,-754412169609272.1,-7544121696092721.0,3434126982722930.5,-3424903249096960.0,-1836873868392139.8,1252974328775530.5,2097582462306377.0
0.02,0,diag,noise,base,10,360001479154970.0,3600014791549700.0,3.096803500743863e+16,-4.008694998894682e+16,-2.041274899090967e+16,8947413671061595.0,4.184172342087216e+16
0.02,0,diag,noise,noise,10,3523837466431094.0,3.523837466431094e+16,4967626266145518.0,889539036017251.1,1176802576670762.0,3043518614484969.5,5769756602393962.0
0.02,0,offdiag,FE,FE,90,6195606346853354.0,5.5760457121680186e+17,387778463857282.06,5736198997792512.0,5934325033388284.0,6428616235055783.0,6721145472315650.0
0.02,0,offdiag,FE,base,90,6.394740727839933e+16,5.75526665505594e+18,2.9759061850590984e+16,2.6340723531025516e+16,4.780960188663384e+16,7.97940332609189e+16,1.0664388679598614e+17
0.02,0,offdiag,FE,noise,90,-614142072179141.8,-5.527278649612275e+16,2913237588062662.5,-3346045388221143.0,-2054224582054309.5,1849823546500205.5,2433478535280152.0
0.02,0,offdiag,base,FE,90,6.3947407278399304e+16,5.755266655055938e+18,2.9759061850590976e+16,2.6340723531025516e+16,4.780960188663384e+16,7.97940332609189e+16,1.0664388679598614e+17
0.02,0,offdiag,base,base,90,8.462811755321932e+17,7.616530579789739e+19,5.847817915060608e+17,1.10634403007878e+17,4.3503435178285734e+17,1.1735895118729144e+18,1.8664562805613373e+18
0.02,0,offdiag,base,noise,90,-5949352296571787.0,-5.354417066914608e+17,5.018694438492195e+16,-5.422375649078509e+16,-2.066443123795281e+16,1.8216915969953336e+16,4.699431566474442e+16
0.02,0,offdiag,noise,FE,90,-614142072179141.8,-5.527278649612276e+16,2913237588062663.5,-3346045388221143.0,-2054224582054309.5,1849823546500205.5,2433478535280152.0
0.02,0,offdiag,noise,base,90,-5949352296571785.0,-5.354417066914607e+17,5.018694438492196e+16,-5.422375649078509e+16,-2.066443123795281e+16,1.8216915969953336e+16,4.699431566474442e+16
0.02,0,offdiag,noise,noise,90,-117175965989743.6,-1.0545836939076924e+16,1870949059749765.2,-1444094440785394.0,-446974706267105.0,771867054760470.4,1438850159764586.5
0.05,0,diag,FE,FE,10,3.866668798868024e+16,3.866668798868024e+17,3644373649813361.5,3.55880552215779e+16,3.633059838022978e+16,4.1694095919350024e+16,4.2321756121335656e+16
0.05,0,diag,FE,base,10,1.5494627764763917e+17,1.5494627764763917e+18,7.268189943504653e+16,7.185038999150707e+16,1.1878316016055253e+17,1.9351133991583206e+17,2.438646156493416e+17
0.05,0,diag,FE,noise,10,-4921788005956646.0,-4.921788005956646e+16,2.1324856523422308e+16,-2.1048159997387812e+16,-1.1340040488123186e+16,7998282780450416.0,1.220945324439002e+16
