s,m,diag,compA,compB,count,mean,sum,std,pct10,pct25,pct75,pct90
0.02,0,diag,FE,FE,10,1.429796889804011e+16,1.429796889804011e+17,1530636762950227.2,1.218098315373896e+16,1.3568339042685862e+16,1.4909414836784356e+16,1.6159511736625794e+16
0.02,0,diag,FE,base,10,1.8037768987590573e+17,1.8037768987590572e+18,7.871808989463989e+16,1.0472999532393654e+17,1.2134900683677235e+17,2.254579879576112e+17,2.843017356439744e+17
0.02,0,diag,FE,noise,10,-353560666093156.8,-3535606660931568.0,3555371710719841.0,-4300525447577091.0,-2339239544156003.0,1349600929473501.5,3695746692969665.5
0.02,0,diag,base,FE,10,1.8037768987590573e+17,1.8037768987590572e+18,7.871808989463989e+16,1.0472999532393654e+17,1.2134900683677235e+17,2.254579879576112e+17,2.843017356439744e+17
0.02,0,diag,base,base,10,4.5069642376062377e+18,4.506964237606238e+19,5.536433327479776e+18,9.240560233020224e+17,1.324502995356125e+18,4.269023764001707e+18,9.399263592405733e+18
0.02,0,diag,base,noise,10,-1.6677601897751824e+16,-1.6677601897751824e+17,5.858723817189456e+16,-9.732277568727232e+16,-5.555221560814667e+16,1.6654286534938496e+16,5.2059141937134424e+16
0.02,0,diag,noise,FE,10,-353560666093156.8,-3535606660931568.0,3555371710719841.0,-4300525447577091.0,-2339239544156003.0,1349600929473501.5,3695746692969665.5
0.02,0,diag,noise,base,10,-1.6677601897751824e+16,-1.6677601897751824e+17,5.858723817189456e+16,-9.732277568727232e+16,-5.555221560814667e+16,1.6654286534938496e+16,5.2059141937134424e+16
0.02,0,diag,noise,noise,10,6381670567601646.0,6.3816705676016456e+16,5323717954766045.0,1768225502375322.8,1991303980566294.2,1.0859822967327192e+16,1.391170670296501e+16
0.02,0,offdiag,FE,FE,90,1.4221807815578712e+16,1.279962703402084e+18,972463537899542.9,1.2945361300771626e+16,1.3399194243897e+16,1.4869461897775752e+16,1.5449940767412852e+16
0.02,0,offdiag,FE,base,90,1.8026800942447123e+17,1.622412084820241e+19,7.096572539022762e+16,9.822268087639003e+16,1.1907391429138507e+17,2.251264100484635e+17,2.8567564564510266e+17
0.02,0,offdiag,FE,noise,90,-357726999310450.5,-3.2195429937940544e+16,3564524117554752.0,-4048999428160454.0,-2510106546147274.0,1454969061206292.2,3937237317495286.5
0.02,0,offdiag,base,FE,90,1.8026800942447117e+17,1.6224120848202404e+19,7.096572539022761e+16,9.822268087639003e+16,1.1907391429138507e+17,2.251264100484635e+17,2.8567564564510266e+17
0.02,0,offdiag,base,base,90,2.551521628816466e+18,2.2963694659348195e+20,1.465283234287372e+18,9.215666040640123e+17,1.3749450944129114e+18,3.602307995084479e+18,4.870870641429636e+18
0.02,0,offdiag,base,noise,90,-1.437752646499478e+16,-1.29397738184953e+18,8.020091033871478e+16,-7.706049322285358e+16,-4.585690165185298e+16,1.3403029678815968e+16,5.718995311737504e+16
0.02,0,offdiag,noise,FE,90,-357726999310450.56,-3.2195429937940548e+16,3564524117554752.0,-4048999428160454.0,-2510106546147274.0,1454969061206292.2,3937237317495286.5
0.02,0,offdiag,noise,base,90,-1.4377526464994788e+16,-1.293977381849531e+18,8.020091033871477e+16,-7.706049322285358e+16,-4.585690165185298e+16,1.3403029678815968e+16,5.718995311737504e+16
0.02,0,offdiag,noise,noise,90,-259330554607757.6,-2.3339749914698184e+16,2038708426030516.5,-2183359833651336.5,-1309110873598049.8,852904788435007.2,1493026358398614.2
0.05,0,diag,FE,FE,10,8.860471930126486e+16,8.860471930126486e+17,9537854946121646.0,7.533357193478088e+16,8.47211567209893e+16,9.24016424946578e+16,1.0046287831586867e+17
0.05,0,diag,FE,base,10,4.502799433347244e+17,4.502799433347244e+18,1.9871577644960314e+17,2.5961366865159226e+17,3.0295045451878e+17,5.6241879931490874e+17,7.012128614578135e+17
0.05,0,diag,FE,noise,10,-1649167539021858.5,-1.6491675390218586e+16,2.075358200961245e+16,-2.585977839940304e+16,-1.3924555143292604e+16,5805205438689932.0,2.344501454731694e+16
0.05,0,diag,base,FE,10,4.502799433347244e+17,4.502799433347244e+18,1.9871577644960314e+17,2.5961366865159226e+17,3.0295045451878e+17,5.6241879931490874e+17,7.012128614578135e+17
0.05,0,diag,base,base,10,4.507175232228315e+18,4.507175232228315e+19,5.534179600531504e+18,9.240505729255931e+17,1.324502995356125e+18,4.2764759829516723e+18,9.377768778599473e+18
0.05,0,diag,base,noise,10,-3.540685907327891e+16,-3.540685907327891e+17,1.3247005265691074e+17,-1.9466158469474205e+17,-1.339355816702848e+17,2.482022963450309e+16,1.2749888858130206e+17
0.05,0,diag,noise,FE,10,-1649167539021858.5,-1.6491675390218586e+16,2.075358200961245e+16,-2.585977839940304e+16,-1.3924555143292604e+16,5805205438689932.0,2.344501454731694e+16
0.05,0,diag,noise,base,10,-3.540685907327891e+16,-3.540685907327891e+17,1.3247005265691074e+17,-1.9466158469474205e+17,-1.339355816702848e+17,2.482022963450309e+16,1.2749888858130206e+17
0.05,0,diag,noise,noise,10,3.4864506152051348e+16,3.486450615205135e+17,2.8606447728464356e+16,8340097964760577.0,1.1640439627105986e+16,5.160450381467671e+16,7.539731728518171e+16
0.05,0,offdiag,FE,FE,90,8.81200744398407e+16,7.930806699585664e+18,6097040188360836.0,7.997043739801883e+16,8.298656108841603e+16,9.260078181983584e+16,9.595065134962128e+16
0.05,0,offdiag,FE,base,90,4.500048091968278e+17,4.05004328277145e+19,1.793423197436053e+17,2.4235474010936112e+17,2.953696657829619e+17,5.617789246173038e+17,7.078608543340479e+17
0.05,0,offdiag,FE,noise,90,-1492633002077472.8,-1.3433697018697254e+17,2.06624978923907e+16,-2.384124723703786e+16,-1.509597998454319e+16,5908651247363256.0,2.496527283257456e+16
0.05,0,offdiag,base,FE,90,4.5000480919682765e+17,4.050043282771449e+19,1.7934231974360522e+17,2.4235474010936112e+17,2.953696657829619e+17,5.617789246173038e+17,7.078608543340479e+17
0.05,0,offdiag,base,base,90,2.551498184969569e+18,2.296348366472612e+20,1.4649154732131576e+18,9.215666040640123e+17,1.375218941179094e+18,3.603042192006627e+18,4.858951522265413e+18
0.05,0,offdiag,base,noise,90,-3.188585993424644e+16,-2.8697273940821796e+18,1.8783404135229594e+17,-1.7798046351811136e+17,-1.049185680383042e+17,2.7309093251021136e+16,1.4352487316080606e+17
0.05,0,offdiag,noise,FE,90,-1492633002077474.5,-1.343369701869727e+17,2.06624978923907e+16,-2.384124723703786e+16,-1.509597998454319e+16,5908651247363256.0,2.496527283257456e+16
0.05,0,offdiag,noise,base,90,-3.1885859934246468e+16,-2.869727394082182e+18,1.87834041352296e+17,-1.7798046351811136e+17,-1.049185680383042e+17,2.7309093251021136e+16,1.4352487316080606e+17
0.05,0,offdiag,noise,noise,90,-1512100266614434.0,-1.3608902399529906e+17,1.1115833068043398e+16,-1.195172550129468e+16,-6860904081278521.0,4748777748776664.0,9302807859762612.0
0.1,0,diag,FE,FE,10,3.5350570906410355e+17,3.535057090641036e+18,3.77998656659123e+16,3.030605563910808e+17,3.383164361252499e+17,3.6527565237335206e+17,4.012701341535096e+17
0.1,0,diag,FE,base,10,9.029600925733261e+17,9.02960092573326e+18,4.091062624403288e+17,5.132782302494684e+17,6.0621677142616e+17,1.1158561412103616e+18,1.3818994214069558e+18
0.1,0,diag,FE,noise,10,-3891006803015241.5,-3.891006803015242e+16,7.799302083086005e+16,-8.14785250267313e+16,-5.6119609158683496e+16,2.060392348729045e+16,9.73748195439397e+16
0.1,0,diag,base,FE,10,9.029600925733261e+17,9.02960092573326e+18,4.091062624403288e+17,5.132782302494684e+17,6.0621677142616e+17,1.1158561412103616e+18,1.3818994214069558e+18
0.1,0,diag,base,base,10,4.509605429886577e+18,4.509605429886577e+19,5.535159447989693e+18,9.252726243464268e+17,1.324502995356125e+18,4.2689910764435835e+18,9.394496422469296e+18
0.1,0,diag,base,noise,10,-6.01875132377559e+16,-6.01875132377559e+17,2.4531539186508077e+17,-3.393609105018102e+17,-2.3676978918609792e+17,3.5876712078993336e+16,2.53338972381271e+17
0.1,0,diag,noise,FE,10,-3891006803015241.5,-3.891006803015242e+16,7.799302083086005e+16,-8.14785250267313e+16,-5.6119609158683496e+16,2.060392348729045e+16,9.73748195439397e+16
0.1,0,diag,noise,base,10,-6.01875132377559e+16,-6.01875132377559e+17,2.4531539186508077e+17,-3.393609105018102e+17,-2.3676978918609792e+17,3.5876712078993336e+16,2.53338972381271e+17
0.1,0,diag,noise,noise,10,1.2124368193083773e+17,1.2124368193083773e+18,1.000751443164928e+17,2.692466399609456e+16,4.418028575966075e+16,1.4971600264824973e+17,2.7337822827495066e+17
0.1,0,offdiag,FE,FE,90,3.516512505517022e+17,3.16486125496532e+19,2.4010675412731772e+16,3.193981356826111e+17,3.31635676236223e+17,3.6854754577414944e+17,3.812114306726368e+17
0.1,0,offdiag,FE,base,90,8.99231424546635e+17,8.093082820919715e+19,3.64201606811099e+17,4.8335645313792154e+17,5.875883119980959e+17,1.1200243081669027e+18,1.4122332358549507e+18
0.1,0,offdiag,FE,noise,90,-3658381598182553.0,-3.2925434383642976e+17,7.718947834462014e+16,-8.644194178315072e+16,-6.1707048973223816e+16,2.2029267537516104e+16,1.008688565506216e+17
0.1,0,offdiag,base,FE,90,8.992314245466356e+17,8.09308282091972e+19,3.64201606811099e+17,4.8335645313792154e+17,5.875883119980959e+17,1.1200243081669027e+18,1.4122332358549507e+18
0.1,0,offdiag,base,base,90,2.551228163007539e+18,2.2961053467067852e+20,1.4647906538253332e+18,9.215666040640123e+17,1.3736408895583636e+18,3.5933980544925143e+18,4.854468663168305e+18
0.1,0,offdiag,base,noise,90,-5.5324429475345976e+16,-4.979198652781138e+18,3.497426004633745e+17,-3.359582142542924e+17,-1.9047688916561203e+17,4.189411432253412e+16,2.776692875519049e+17
0.1,0,offdiag,noise,FE,90,-3658381598182555.0,-3.2925434383642995e+17,7.718947834462018e+16,-8.644194178315072e+16,-6.1707048973223816e+16,2.2029267537516104e+16,1.008688565506216e+17
0.1,0,offdiag,noise,base,90,-5.532442947534599e+16,-4.979198652781139e+18,3.497426004633745e+17,-3.359582142542924e+17,-1.9047688916561203e+17,4.189411432253412e+16,2.776692875519049e+17
0.1,0,offdiag,noise,noise,90,-5803934413635024.0,-5.223540972271521e+17,3.8794313739354456e+16,-4.085967419130667e+16,-2.391471228299411e+16,1.3333956598446076e+16,3.200639992920844e+16
0.25,0,diag,FE,FE,10,2.3001048709033213e+18,2.3001048709033214e+19,2.1990509286609043e+17,2.005615166373989e+18,2.1613738119734574e+18,2.384655641986618e+18,2.6087916491196897e+18
0.25,0,diag,FE,base,10,2.2827551487888535e+18,2.2827551487888536e+19,1.1178969245688579e+18,1.27474608851235e+18,1.4268468312133158e+18,2.850579377152232e+18,3.4993104458069166e+18
0.25,0,diag,FE,noise,10,-1.5965254366339356e+16,-1.5965254366339357e+17,4.9556439579524435e+17,-5.252043488175694e+17,-3.7787908825885216e+17,1.9670373823446515e+17,6.759610576668895e+17
0.25,0,diag,base,FE,10,2.2827551487888535e+18,2.2827551487888536e+19,1.1178969245688579e+18,1.27474608851235e+18,1.4268468312133158e+18,2.850579377152232e+18,3.4993104458069166e+18
0.25,0,diag,base,base,10,4.556804157674627e+18,4.556804157674627e+19,5.594984014480895e+18,9.17274101257712e+17,1.1450363090425994e+18,4.284168851885311e+18,9.94876592037734e+18
0.25,0,diag,base,noise,10,-1.1842670803064576e+17,-1.1842670803064576e+18,5.786385429067964e+17,-8.82436093323309e+17,-4.823447357455493e+17,7.838571973732974e+16,7.115999260516052e+17
0.25,0,diag,noise,FE,10,-1.5965254366339356e+16,-1.5965254366339357e+17,4.9556439579524435e+17,-5.252043488175694e+17,-3.7787908825885216e+17,1.9670373823446515e+17,6.759610576668895e+17
0.25,0,diag,noise,base,10,-1.1842670803064576e+17,-1.1842670803064576e+18,5.786385429067964e+17,-8.82436093323309e+17,-4.823447357455493e+17,7.838571973732974e+16,7.115999260516052e+17
0.25,0,diag,noise,noise,10,6.914310962225125e+17,6.914310962225125e+18,5.050183019669794e+17,2.207049557870597e+17,2.4764928362364707e+17,1.0442508771335391e+18,1.3902641475326057e+18
0.25,0,offdiag,FE,FE,90,2.289308001806933e+18,2.0603772016262398e+20,1.3954151594089334e+17,2.097745221511566e+18,2.175534064443606e+18,2.3759862684562575e+18,2.4806615362306365e+18
0.25,0,offdiag,FE,base,90,2.2736420024114568e+18,2.046277802170311e+20,9.971263484337293e+17,1.198104517448785e+18,1.3877078593860984e+18,2.763244312190497e+18,3.6156456183804155e+18
0.25,0,offdiag,FE,noise,90,-1.5217152093676124e+16,-1.369543688430851e+18,4.877552095925994e+17,-5.178638852984794e+17,-4.4013832366622426e+17,2.3408206766710646e+17,7.002703850211057e+17
0.25,0,offdiag,base,FE,90,2.273642002411457e+18,2.0462778021703113e+20,9.971263484337293e+17,1.198104517448785e+18,1.3877078593860984e+18,2.763244312190497e+18,3.6156456183804155e+18
0.25,0,offdiag,base,base,90,2.5459838599199764e+18,2.2913854739279787e+20,1.5134274673609577e+18,9.194950976845568e+17,1.303855932487196e+18,3.466585507061637e+18,4.975317269608535e+18
0.25,0,offdiag,base,noise,90,-1.140978888752206e+17,-1.0268809998769854e+19,8.136962881004552e+17,-8.312845173976764e+17,-4.3323370329204826e+17,1.4788325678532378e+17,6.18332391010912e+17
0.25,0,offdiag,noise,FE,90,-1.5217152093676126e+16,-1.3695436884308513e+18,4.877552095925995e+17,-5.178638852984794e+17,-4.4013832366622426e+17,2.3408206766710646e+17,7.002703850211057e+17
0.25,0,offdiag,noise,base,90,-1.1409788887522072e+17,-1.0268809998769865e+19,8.136962881004556e+17,-8.312845173976764e+17,-4.3323370329204826e+17,1.4788325678532378e+17,6.18332391010912e+17
0.25,0,offdiag,noise,noise,90,-3.2582422434098324e+16,-2.932418019068849e+18,2.376698925227009e+17,-2.7550939607991773e+17,-1.2872744363808602e+17,1.1324735654500507e+17,1.809173319275872e+17
0.5,0,diag,FE,FE,10,9.928478848166937e+18,9.928478848166937e+19,1.4404747458844367e+18,8.238414275049854e+18,8.906543886999677e+18,1.1160888869573773e+19,1.1583590072675125e+19
0.5,0,diag,FE,base,10,4.1961025236368087e+18,4.196102523636809e+19,2.881809270557213e+18,1.7303334538276262e+18,2.354981824140279e+18,5.002049967057605e+18,6.327739409100997e+18
0.5,0,diag,FE,noise,10,5.233027965063957e+16,5.2330279650639565e+17,2.7783265172357775e+18,-2.3620080599384264e+18,-1.974150494081404e+18,1.9718934561428462e+18,3.569480281055173e+18
0.5,0,diag,base,FE,10,4.1961025236368087e+18,4.196102523636809e+19,2.881809270557213e+18,1.7303334538276262e+18,2.354981824140279e+18,5.002049967057605e+18,6.327739409100997e+18
0.5,0,diag,base,base,10,4.764641950850793e+18,4.7646419508507935e+19,6.106825481008017e+18,7.029932191374259e+17,1.0459883490094564e+18,4.3186145514711286e+18,1.049425475128007e+19
0.5,0,diag,base,noise,10,-6.227241787978366e+16,-6.227241787978367e+17,1.1866137290103603e+18,-1.624414795967481e+18,-4.31252496245614e+17,4.3451043178587616e+17,1.657007171955223e+18
0.5,0,diag,noise,FE,10,5.233027965063957e+16,5.2330279650639565e+17,2.7783265172357775e+18,-2.3620080599384264e+18,-1.974150494081404e+18,1.9718934561428462e+18,3.569480281055173e+18
0.5,0,diag,noise,base,10,-6.227241787978366e+16,-6.227241787978367e+17,1.1866137290103603e+18,-1.624414795967481e+18,-4.31252496245614e+17,4.3451043178587616e+17,1.657007171955223e+18
0.5,0,diag,noise,noise,10,5.863848845306028e+18,5.863848845306028e+19,6.523351437776442e+18,1.3418095943071606e+18,2.1529771508053763e+18,7.588994379262412e+18,1.1504658940526864e+19
0.5,0,offdiag,FE,FE,90,9.806432825141967e+18,8.82578954262777e+20,9.126986521303506e+17,8.581155041267025e+18,9.174194987621353e+18,1.0429088214596655e+19,1.096031272113906e+19
0.5,0,offdiag,FE,base,90,4.140771600008901e+18,3.726694440008011e+20,2.4772047049808425e+18,1.6101986145384742e+18,2.217144255128559e+18,5.300441051002885e+18,6.601965468997841e+18
0.5,0,offdiag,FE,noise,90,4.794470508836544e+16,4.3150234579528893e+18,2.6107884536577684e+18,-3.3957751830549125e+18,-1.8592598771144448e+18,2.6628038609650796e+18,3.800761316493611e+18
0.5,0,offdiag,base,FE,90,4.1407716000089016e+18,3.7266944400080116e+20,2.4772047049808425e+18,1.6101986145384742e+18,2.217144255128559e+18,5.300441051002885e+18,6.601965468997841e+18
0.5,0,offdiag,base,base,90,2.522890771789308e+18,2.270601694610377e+20,1.7738020442621612e+18,5.7591867174823846e+17,1.2301326764127357e+18,3.5470209441201126e+18,5.101818652485546e+18
0.5,0,offdiag,base,noise,90,-1.5246204657779658e+17,-1.3721584192001692e+19,2.1897858059590848e+18,-1.9002551577571387e+18,-9.407630983620972e+17,7.568277782615498e+17,2.2095178409512164e+18
0.5,0,offdiag,noise,FE,90,4.794470508836613e+16,4.315023457952952e+18,2.610788453657769e+18,-3.3957751830549125e+18,-1.8592598771144448e+18,2.6628038609650796e+18,3.800761316493611e+18
0.5,0,offdiag,noise,base,90,-1.5246204657779645e+17,-1.3721584192001681e+19,2.189785805959084e+18,-1.9002551577571387e+18,-9.407630983620972e+17,7.568277782615498e+17,2.2095178409512164e+18
0.5,0,offdiag,noise,noise,90,-3.503060654052621e+17,-3.152754588647359e+19,2.1044992884483525e+18,-3.183844727241576e+18,-1.0340121647715657e+18,8.962822681460223e+17,2.2329333307441508e+18
