s,m,diag,compA,compB,count,mean,sum,std,pct10,pct25,pct75,pct90
0.02,0,diag,FE,FE,10,1.403105725754314e+16,1.403105725754314e+17,779831532754029.9,1.297959959016668e+16,1.3516940785106288e+16,1.4654826449912464e+16,1.4797419205116984e+16
0.02,0,diag,FE,base,10,1.6215366140158176e+17,1.6215366140158177e+18,8.575164658679202e+16,6.206440898623643e+16,9.941958144906064e+16,2.1810886219891795e+17,2.6608904438168298e+17
0.02,0,diag,FE,noise,10,3843550778194313.5,3.843550778194314e+16,1.2044343652208654e+16,-3624093890680356.0,-2851593243084572.0,3416272326164538.0,1.0683110938586722e+16
0.02,0,diag,base,FE,10,1.6215366140158176e+17,1.6215366140158177e+18,8.575164658679202e+16,6.206440898623643e+16,9.941958144906064e+16,2.1810886219891795e+17,2.6608904438168298e+17
0.02,0,diag,base,base,10,4.143291036066898e+18,4.143291036066898e+19,5.728092247897785e+18,3.1954353684254304e+17,9.634724486616282e+17,4.0533388374403364e+18,7.832858336450973e+18
0.02,0,diag,base,noise,10,1.3468260576132084e+16,1.3468260576132083e+17,8.297404468884262e+16,-5.973337368851546e+16,-3.5590489587194908e+16,2.8109065437275384e+16,5.774096211842475e+16
0.02,0,diag,noise,FE,10,3843550778194313.5,3.843550778194314e+16,1.2044343652208654e+16,-3624093890680356.0,-2851593243084572.0,3416272326164538.0,1.0683110938586722e+16
0.02,0,diag,noise,base,10,1.3468260576132084e+16,1.3468260576132083e+17,8.297404468884262e+16,-5.973337368851546e+16,-3.5590489587194908e+16,2.8109065437275384e+16,5.774096211842475e+16
0.02,0,diag,noise,noise,10,1.4985037031521412e+16,1.498503703152141e+17,3.462286354134969e+16,693546527631191.5,1054746543069054.4,6774537218125461.0,2.683459790133783e+16
0.02,0,offdiag,FE,FE,90,1.3991991070748488e+16,1.2592791963673638e+18,491807439407034.4,1.3237146879426184e+16,1.3655776904975478e+16,1.4304549675281936e+16,1.4691830833163142e+16
0.02,0,offdiag,FE,base,90,1.6382473511441475e+17,1.4744226160297329e+19,8.54844807342575e+16,5.852458421694031e+16,8.207168720911453e+16,2.1729375884959194e+17,2.8603808792422765e+17
0.02,0,offdiag,FE,noise,90,3780935665644250.5,3.402842099079825e+17,1.118945584911251e+16,-3695124248549978.0,-3286039364162092.5,4004760065045200.0,1.056939124557738e+16
0.02,0,offdiag,base,FE,90,1.6382473511441475e+17,1.4744226160297329e+19,8.548448073425754e+16,5.852458421694031e+16,8.207168720911453e+16,2.1729375884959194e+17,2.8603808792422765e+17
0.02,0,offdiag,base,base,90,2.2354540700598226e+18,2.0119086630538402e+20,1.8720764913898527e+18,3.6465554805095494e+17,7.666231962977988e+17,3.0314705127675e+18,4.652237265891525e+18
0.02,0,offdiag,base,noise,90,4.539084061117837e+16,4.0851756550060534e+18,1.489712011558231e+17,-4.590775099865328e+16,-2.947646451690394e+16,4.847227435387115e+16,1.7036476246763158e+17
0.02,0,offdiag,noise,FE,90,3780935665644249.0,3.402842099079824e+17,1.1189455849112508e+16,-3695124248549978.0,-3286039364162092.5,4004760065045200.0,1.056939124557738e+16
0.02,0,offdiag,noise,base,90,4.539084061117836e+16,4.0851756550060524e+18,1.489712011558231e+17,-4.590775099865328e+16,-2.947646451690394e+16,4.847227435387115e+16,1.7036476246763158e+17
0.02,0,offdiag,noise,noise,90,-301647879452420.0,-2.71483091507178e+16,4409128022881469.0,-4245090992501239.0,-1308410757546727.2,513079135054363.94,2317759815057164.5
0.05,0,diag,FE,FE,10,8.68502482305399e+16,8.68502482305399e+17,4517896231532032.0,8.122380801727888e+16,8.321968058697267e+16,8.995089093571064e+16,9.130421564616304e+16
0.05,0,diag,FE,base,10,4.0513120130652506e+17,4.051312013065251e+18,2.1536077928430867e+17,1.5457010808266925e+17,2.448120896660058e+17,5.467566730746742e+17,6.630270528300883e+17
0.05,0,diag,FE,noise,10,2.3651476428400416e+16,2.3651476428400416e+17,7.32777672539632e+16,-2.294181059209245e+16,-1.6755678776866182e+16,2.0891040394196748e+16,6.487803883600784e+16
0.05,0,diag,base,FE,10,4.0513120130652506e+17,4.051312013065251e+18,2.1536077928430867e+17,1.5457010808266925e+17,2.448120896660058e+17,5.467566730746742e+17,6.630270528300883e+17
0.05,0,diag,base,base,10,4.1432465431191977e+18,4.143246543119198e+19,5.728056297043951e+18,3.196575398642797e+17,9.634724486616282e+17,4.0533388374403364e+18,7.832343896899932e+18
0.05,0,diag,base,noise,10,3.34032136526227e+16,3.34032136526227e+17,2.06796107313781e+17,-1.4417329622654566e+17,-7.929801700119398e+16,8.210556130389747e+16,1.4196860148955826e+17
0.05,0,diag,noise,FE,10,2.3651476428400416e+16,2.3651476428400416e+17,7.32777672539632e+16,-2.294181059209245e+16,-1.6755678776866182e+16,2.0891040394196748e+16,6.487803883600784e+16
0.05,0,diag,noise,base,10,3.34032136526227e+16,3.34032136526227e+17,2.06796107313781e+17,-1.4417329622654566e+17,-7.929801700119398e+16,8.210556130389747e+16,1.4196860148955826e+17
0.05,0,diag,noise,noise,10,9.04380650769252e+16,9.04380650769252e+17,2.1279548122447728e+17,3736962394671492.5,6089083406625004.0,3.837307856616856e+16,1.6053627784427638e+17
0.05,0,offdiag,FE,FE,90,8.661642867793238e+16,7.795478581013915e+18,2862800344658684.0,8.224959432216848e+16,8.491910478246746e+16,8.892725007460962e+16,9.035946537599478e+16
0.05,0,offdiag,FE,base,90,4.0980854046059654e+17,3.6882768641453687e+19,2.1578795183934173e+17,1.45071641545696e+17,2.0258612597522006e+17,5.4487117987178726e+17,7.102250447236526e+17
0.05,0,offdiag,FE,noise,90,2.3315328031804236e+16,2.0983795228623813e+18,6.838591725532362e+16,-2.402898013568768e+16,-1.835771396612918e+16,2.4396553736804428e+16,6.433800648144744e+16
0.05,0,offdiag,base,FE,90,4.0980854046059654e+17,3.688276864145369e+19,2.1578795183934173e+17,1.45071641545696e+17,2.0258612597522006e+17,5.4487117987178726e+17,7.102250447236526e+17
0.05,0,offdiag,base,base,90,2.2354590137206787e+18,2.0119131123486107e+20,1.8720119970820168e+18,3.6465554805095494e+17,7.66780753955102e+17,3.0313192580335816e+18,4.652237265891525e+18
0.05,0,offdiag,base,noise,90,1.1286363828385322e+17,1.0157727445546789e+19,3.679060713301783e+17,-1.1321782501468269e+17,-6.704509323587288e+16,1.1624900172486963e+17,4.2146027361606995e+17
0.05,0,offdiag,noise,FE,90,2.331532803180426e+16,2.0983795228623834e+18,6.838591725532362e+16,-2.402898013568768e+16,-1.835771396612918e+16,2.4396553736804428e+16,6.433800648144744e+16
0.05,0,offdiag,noise,base,90,1.1286363828385314e+17,1.0157727445546783e+19,3.679060713301783e+17,-1.1321782501468269e+17,-6.704509323587288e+16,1.1624900172486963e+17,4.2146027361606995e+17
0.05,0,offdiag,noise,noise,90,-1750797760702980.2,-1.5757179846326822e+17,2.648188409003583e+16,-2.5175470901717412e+16,-7249561079873798.0,3069251098989929.0,1.27187583801576e+16
0.1,0,diag,FE,FE,10,3.461128568909475e+17,3.4611285689094753e+18,1.6556271733838686e+16,3.26751435488989e+17,3.308663494879206e+17,3.6002147839389875e+17,3.639794554336338e+17
0.1,0,diag,FE,base,10,8.13101443869944e+17,8.131014438699441e+18,4.372121715469399e+17,3.1068389542255174e+17,4.85978791069861e+17,1.0972799176644329e+18,1.314344434171544e+18
0.1,0,diag,FE,noise,10,9.315235407952291e+16,9.31523540795229e+17,2.8363844985676714e+17,-8.877237085284261e+16,-6.3944831594002424e+16,8.10836064819036e+16,2.5156573977427664e+17
0.1,0,diag,base,FE,10,8.13101443869944e+17,8.131014438699441e+18,4.372121715469399e+17,3.1068389542255174e+17,4.85978791069861e+17,1.0972799176644329e+18,1.314344434171544e+18
0.1,0,diag,base,base,10,4.1397181973595397e+18,4.13971819735954e+19,5.724629249372869e+18,3.329903633204429e+17,9.606312812287626e+17,4.0533388374403364e+18,7.78609483275717e+18
0.1,0,diag,base,noise,10,7.035981868859674e+16,7.035981868859674e+17,3.9619498770767994e+17,-2.6534574090368416e+17,-1.4154931812052456e+17,1.6855563661937197e+17,2.8829582538831955e+17
0.1,0,diag,noise,FE,10,9.315235407952291e+16,9.31523540795229e+17,2.8363844985676714e+17,-8.877237085284261e+16,-6.3944831594002424e+16,8.10836064819036e+16,2.5156573977427664e+17
0.1,0,diag,noise,base,10,7.035981868859674e+16,7.035981868859674e+17,3.9619498770767994e+17,-2.6534574090368416e+17,-1.4154931812052456e+17,1.6855563661937197e+17,2.8829582538831955e+17
0.1,0,diag,noise,noise,10,3.441225945981667e+17,3.4412259459816673e+18,8.245544654348577e+17,1.3125319778099112e+16,2.181165120239245e+16,1.3366862376066083e+17,6.013198958481844e+17
0.1,0,offdiag,FE,FE,90,3.4521684425882605e+17,3.1069515983294345e+19,1.0474459003234914e+16,3.2922910123005914e+17,3.394114689120648e+17,3.539997092112695e+17,3.597211248316564e+17
0.1,0,offdiag,FE,base,90,8.21990367321204e+17,7.397913305890836e+19,4.366336219229423e+17,2.965646436890812e+17,3.943177333014279e+17,1.0964433924518188e+18,1.3969093762826575e+18
0.1,0,offdiag,FE,noise,90,9.128262213051638e+16,8.215435991746475e+18,2.6353490989318883e+17,-9.075463277087074e+16,-7.010771762636324e+16,9.283854095012222e+16,2.481279312600446e+17
0.1,0,offdiag,base,FE,90,8.219903673212035e+17,7.39791330589083e+19,4.3663362192294234e+17,2.965646436890812e+17,3.943177333014279e+17,1.0964433924518188e+18,1.3969093762826575e+18
0.1,0,offdiag,base,base,90,2.2358510521384195e+18,2.0122659469245776e+20,1.8635231670004045e+18,3.6465554805095494e+17,7.842946562932959e+17,3.015795978041797e+18,4.652237265891525e+18
0.1,0,offdiag,base,noise,90,2.227350515779034e+17,2.0046154642011304e+19,7.147420895640524e+17,-2.1259094689011728e+17,-1.2499192358860746e+17,2.2027575271742064e+17,8.365868246259144e+17
0.1,0,offdiag,noise,FE,90,9.128262213051646e+16,8.215435991746481e+18,2.635349098931888e+17,-9.075463277087074e+16,-7.010771762636324e+16,9.283854095012222e+16,2.481279312600446e+17
0.1,0,offdiag,noise,base,90,2.227350515779034e+17,2.0046154642011304e+19,7.147420895640522e+17,-2.1259094689011728e+17,-1.2499192358860746e+17,2.2027575271742064e+17,8.365868246259144e+17
0.1,0,offdiag,noise,noise,90,-6269647482549510.0,-5.6426827342945594e+17,9.911499032270664e+16,-9.545028056978726e+16,-2.5330285439487456e+16,1.298773654382662e+16,4.769713610991134e+16
