s,m,diag,compA,compB,count,mean,sum,std,pct10,pct25,pct75,pct90
0.02,0,diag,FE,FE,10,1.5985160251296615e-05,0.00015985160251296614,1.458158508536889e-06,1.4131726506468909e-05,1.5224198747196288e-05,1.6923035079742957e-05,1.7258715389359164e-05
0.02,0,diag,FE,base,10,0.0001936348765853075,0.001936348765853075,8.883315226370682e-05,0.00010813884524183114,0.00012340127491038944,0.00024286510170605155,0.0002976478520413694
0.02,0,diag,FE,noise,10,-7.460661838572198e-07,-7.460661838572197e-06,3.2957959080108236e-06,-5.076158245953825e-06,-3.8596052704163295e-06,9.944267625904932e-07,3.2406389973874234e-06
0.02,0,diag,base,FE,10,0.0001936348765853075,0.001936348765853075,8.883315226370682e-05,0.00010813884524183114,0.00012340127491038944,0.00024286510170605155,0.0002976478520413694
0.02,0,diag,base,base,10,0.004702267892905463,0.04702267892905463,0.006407681594026497,0.0010684639542930332,0.0011909752242383925,0.004230736731409005,0.009160764611032334
0.02,0,diag,base,noise,10,-2.3031877952205318e-05,-0.00023031877952205316,5.601207113636853e-05,-9.871795787339865e-05,-5.1574232197096645e-05,1.242366394406913e-05,2.8315634061796766e-05
0.02,0,diag,noise,FE,10,-7.460661838572198e-07,-7.460661838572197e-06,3.2957959080108236e-06,-5.076158245953825e-06,-3.8596052704163295e-06,9.944267625904932e-07,3.2406389973874234e-06
0.02,0,diag,noise,base,10,-2.3031877952205318e-05,-0.00023031877952205316,5.601207113636853e-05,-9.871795787339865e-05,-5.1574232197096645e-05,1.242366394406913e-05,2.8315634061796766e-05
0.02,0,diag,noise,noise,10,4.590467324227326e-06,4.590467324227326e-05,3.956388884720938e-06,1.2544492456807121e-06,1.470453320921728e-06,7.292607795938562e-06,1.078697488189174e-05
0.02,0,offdiag,FE,FE,90,1.5916564691728085e-05,0.0014324908222555278,9.221288430603594e-07,1.4634120757274488e-05,1.530420459116965e-05,1.654668680033492e-05,1.700891753430959e-05
0.02,0,offdiag,FE,base,90,0.00019300721398344035,0.017370649258509632,7.960266844224897e-05,0.00010907973318617913,0.00012481549597589205,0.0002383351973316623,0.0003054783138318392
0.02,0,offdiag,FE,noise,90,-7.860488716711819e-07,-7.074439845040638e-05,3.2012538490516287e-06,-5.257311934395499e-06,-4.36748928425095e-06,9.324898543897768e-07,3.436833301106469e-06
0.02,0,offdiag,base,FE,90,0.00019300721398344035,0.017370649258509632,7.960266844224898e-05,0.00010907973318617913,0.00012481549597589205,0.0002383351973316623,0.0003054783138318392
0.02,0,offdiag,base,base,90,0.002552612149501297,0.22973509345511672,0.0015420401063090167,0.0010179102874943793,0.0013669749824583091,0.003558040989781129,0.004600903785002811
0.02,0,offdiag,base,noise,90,-1.7695803868970988e-05,-0.001592622348207389,7.535701387719063e-05,-7.371043667593883e-05,-4.601349212620119e-05,1.0867435196787176e-05,4.4326379274046626e-05
0.02,0,offdiag,noise,FE,90,-7.860488716711819e-07,-7.074439845040638e-05,3.201253849051628e-06,-5.257311934395499e-06,-4.36748928425095e-06,9.324898543897768e-07,3.436833301106469e-06
0.02,0,offdiag,noise,base,90,-1.7695803868970988e-05,-0.0015926223482073888,7.53570138771906e-05,-7.371043667593883e-05,-4.601349212620119e-05,1.0867435196787176e-05,4.4326379274046626e-05
0.02,0,offdiag,noise,noise,90,-1.3123932923861943e-07,-1.181153963147575e-05,1.648913227068701e-06,-1.5280474608253602e-06,-9.354575541762559e-07,4.910095102984172e-07,1.4216891188689804e-06
0.05,0,diag,FE,FE,10,9.652474685869433e-05,0.0009652474685869433,8.822584958006444e-06,8.502796781094317e-05,9.176047918441814e-05,0.00010247601348451971,0.00010560059593536829
0.05,0,diag,FE,base,10,0.0004764763280466863,0.004764763280466863,0.00021961356922979442,0.0002674033407120833,0.0003022753635843079,0.000601980655994662,0.0007207589410291306
0.05,0,diag,FE,noise,10,-3.990580929115987e-06,-3.990580929115987e-05,1.8364677097474496e-05,-2.7391844245019796e-05,-2.1993523994155287e-05,4.463835442086704e-06,1.9849510599851553e-05
