s,m,diag,compA,compB,count,mean,sum,std,pct10,pct25,pct75,pct90
0.02,0,diag,FE,FE,10,1.5862504371895647e-05,0.00015862504371895645,7.969679431367646e-07,1.4760544627358778e-05,1.522381289829752e-05,1.63941622467316e-05,1.6548196830708113e-05
0.02,0,diag,FE,base,10,0.00016676594820371708,0.0016676594820371708,8.797159010127614e-05,5.695400587185171e-05,8.625304522402052e-05,0.0002083060263649119,0.0002666168549597922
0.02,0,diag,FE,noise,10,2.5139597030691035e-06,2.5139597030691037e-05,8.645137850632159e-06,-5.349088051093469e-06,-3.080895498446288e-06,2.65996113440673e-06,1.7332868756371193e-05
0.02,0,diag,base,FE,10,0.00016676594820371708,0.0016676594820371708,8.797159010127614e-05,5.695400587185171e-05,8.625304522402052e-05,0.0002083060263649119,0.0002666168549597922
0.02,0,diag,base,base,10,0.0035300677141840084,0.035300677141840084,0.004123343435242871,0.00024657947832487355,0.0006591095832486444,0.003567099468187076,0.007934405452471687
0.02,0,diag,base,noise,10,-7.050367496409391e-06,-7.05036749640939e-05,4.6898413518577965e-05,-6.722866495316507e-05,-4.038705423079388e-05,2.579616973047652e-05,4.888899664865032e-05
0.02,0,diag,noise,FE,10,2.5139597030691035e-06,2.5139597030691037e-05,8.645137850632159e-06,-5.349088051093469e-06,-3.080895498446288e-06,2.65996113440673e-06,1.7332868756371193e-05
0.02,0,diag,noise,base,10,-7.050367496409391e-06,-7.05036749640939e-05,4.6898413518577965e-05,-6.722866495316507e-05,-4.038705423079388e-05,2.579616973047652e-05,4.888899664865032e-05
0.02,0,diag,noise,noise,10,7.263503597703676e-06,7.263503597703676e-05,1.054375423361218e-05,7.034815667326389e-07,1.0542943378385788e-06,5.990297666496607e-06,2.5641446179850716e-05
0.02,0,offdiag,FE,FE,90,1.582349780789141e-05,0.0014241148027102268,5.041242044115587e-07,1.5130201500819423e-05,1.543540418554638e-05,1.621037747083061e-05,1.6552084935555412e-05
0.02,0,offdiag,FE,base,90,0.00016901004284886487,0.015210903856397838,8.829928594811511e-05,5.3190419507857947e-05,6.492213816576442e-05,0.00021834653122278566,0.0002913346568858032
0.02,0,offdiag,FE,noise,90,2.4008018607483844e-06,0.00021607216746735461,8.009056433998002e-06,-5.442483185086747e-06,-3.434572027460745e-06,3.1872455482790705e-06,1.7063842074965058e-05
0.02,0,offdiag,base,FE,90,0.00016901004284886485,0.015210903856397836,8.829928594811514e-05,5.3190419507857947e-05,6.492213816576442e-05,0.00021834653122278566,0.0002913346568858032
0.02,0,offdiag,base,base,90,0.0020552233745270705,0.18497010370743633,0.0016453465997259126,0.0005209263940767312,0.0007231106923735707,0.0030808052269793123,0.004244773520669001
0.02,0,offdiag,base,noise,90,2.965843403771607e-05,0.002669259063394446,0.0001051717759488287,-6.22911620504996e-05,-3.132871857365468e-05,4.1536651099501046e-05,0.00020687665466617272
0.02,0,offdiag,noise,FE,90,2.4008018607483853e-06,0.00021607216746735467,8.009056433998e-06,-5.442483185086747e-06,-3.434572027460745e-06,3.1872455482790705e-06,1.7063842074965058e-05
0.02,0,offdiag,noise,base,90,2.9658434037716063e-05,0.0026692590633944457,0.00010517177594882867,-6.22911620504996e-05,-3.132871857365468e-05,4.1536651099501046e-05,0.00020687665466617272
0.02,0,offdiag,noise,noise,90,-2.564747743388417e-07,-2.3082729690495754e-05,3.801202183924772e-06,-4.068181053938704e-06,-1.0588383717657215e-06,1.1341244985249434e-06,2.119699897101537e-06
0.05,0,diag,FE,FE,10,9.584086067410815e-05,0.0009584086067410814,4.628405671681566e-06,8.996459527288348e-05,9.235477918626257e-05,9.868551695643302e-05,9.990045051474776e-05
0.05,0,diag,FE,base,10,0.00041203265318171846,0.004120326531817185,0.00021915563187509713,0.00013886488424338266,0.00021144275677134627,0.0005143604208189491,0.0006656694306305641
0.05,0,diag,FE,noise,10,1.5420340636639804e-05,0.00015420340636639802,5.281098838767017e-05,-2.942343467363884e-05,-2.1554608888155516e-05,1.5611733014700015e-05,0.00010628415124404875
0.05,0,diag,base,FE,10,0.00041203265318171846,0.004120326531817185,0.00021915563187509713,0.00013886488424338266,0.00021144275677134627,0.0005143604208189491,0.0006656694306305641
0.05,0,diag,base,base,10,0.0035399251087697993,0.035399251087697994,0.004134163404556571,0.00024657947832487355,0.0006564502878205899,0.003567099468187076,0.008026313158257477
0.05,0,diag,base,noise,10,-2.2061696532754588e-05,-0.00022061696532754588,0.00012280312389538454,-0.00017714515893494978,-9.882622382908574e-05,6.091767529600449e-05,0.00012208475497064235
0.05,0,diag,noise,FE,10,1.5420340636639804e-05,0.00015420340636639802,5.281098838767017e-05,-2.942343467363884e-05,-2.1554608888155516e-05,1.5611733014700015e-05,0.00010628415124404875
0.05,0,diag,noise,base,10,-2.2061696532754588e-05,-0.00022061696532754588,0.00012280312389538454,-0.00017714515893494978,-9.882622382908574e-05,6.091767529600449e-05,0.00012208475497064235
0.05,0,diag,noise,noise,10,4.392843535832704e-05,0.00043928435358327043,6.505613168524624e-05,3.856352137259139e-06,6.31558197298757e-06,3.535413626204119e-05,0.00016049197295550665
0.05,0,offdiag,FE,FE,90,9.560529747575891e-05,0.008604476772818302,2.9300736817883008e-06,9.178509137341838e-05,9.367571272464355e-05,9.789049788114657e-05,9.983314594414328e-05
