s,m,diag,compA,compB,count,mean,sum,std,pct10,pct25,pct75,pct90
0.02,0,diag,FE,FE,10,8019851944907283.0,8.019851944907283e+16,3512155836812977.5,3801427881142689.0,5442598533249050.0,1.0975846785210836e+16,1.1310915587351384e+16
0.02,0,diag,FE,base,10,6.914526249047345e+16,6.914526249047345e+17,6.5786958267497544e+16,-3796038363068370.0,4.465133011027387e+16,1.0042982262466331e+17,1.2093869583017469e+17
0.02,0,diag,FE,noise,10,-1250402997213311.2,-1.2504029972133112e+16,2698671191389161.0,-2114943495259098.0,-1270467364831560.5,-171615986876260.38,69035634644327.25
0.02,0,diag,base,FE,10,6.914526249047345e+16,6.914526249047345e+17,6.5786958267497544e+16,-3796038363068370.0,4.465133011027387e+16,1.0042982262466331e+17,1.2093869583017469e+17
0.02,0,diag,base,base,10,1.7170503329340518e+18,1.7170503329340518e+19,1.4729621408748593e+18,5.2123925603546874e+17,7.186787613050275e+17,2.1845754441074301e+18,3.8070262358553866e+18
0.02,0,diag,base,noise,10,-716513915524868.0,-7165139155248680.0,2.9094589246220884e+16,-2.8969988848332864e+16,-1.663354508298707e+16,1.4403602506297334e+16,2.4979757329098868e+16
0.02,0,diag,noise,FE,10,-1250402997213311.2,-1.2504029972133112e+16,2698671191389161.0,-2114943495259098.0,-1270467364831560.5,-171615986876260.38,69035634644327.25
0.02,0,diag,noise,base,10,-716513915524868.0,-7165139155248680.0,2.9094589246220884e+16,-2.8969988848332864e+16,-1.663354508298707e+16,1.4403602506297334e+16,2.4979757329098868e+16
0.02,0,diag,noise,noise,10,2874778423103460.5,2.8747784231034604e+16,4779858614204798.0,50697480352205.05,143522552047944.7,3317772648489006.0,5984304867312678.0
0.02,0,offdiag,FE,FE,90,6568842413687871.0,5.911958172319084e+17,2417466956691604.5,3080927422867646.5,4980150017357280.0,8086445681854536.0,1.0113246023766676e+16
