s,m,diag,compA,compB,count,mean,sum,std,pct10,pct25,pct75,pct90
0.02,0,diag,FE,FE,10,2.276510410394909e+16,2.2765104103949088e+17,2.4423195286197364e+16,1.0453008135970966e+16,1.2218791219459552e+16,2.083552720142539e+16,3.315437412163535e+16
0.02,0,diag,FE,base,10,1.988446202379275e+17,1.9884462023792748e+18,1.2021885875005819e+17,6.19648807276707e+16,1.1500588700286566e+17,2.974359245561572e+17,3.331485810269608e+17
0.02,0,diag,FE,noise,10,-4450895578322833.5,-4.450895578322834e+16,1.7791485532843566e+16,-7969018233100917.0,-300992817645055.1,1085519140388028.5,4280503259718538.0
0.02,0,diag,base,FE,10,1.988446202379275e+17,1.9884462023792748e+18,1.2021885875005819e+17,6.19648807276707e+16,1.1500588700286566e+17,2.974359245561572e+17,3.331485810269608e+17
0.02,0,diag,base,base,10,4.3768441146961347e+18,4.376844114696135e+19,4.437977752156565e+18,5.0485247631159085e+17,1.3291308406699525e+18,5.06842308533121e+18,8.812386841659742e+18
0.02,0,diag,base,noise,10,-8.673035443659926e+16,-8.673035443659927e+17,2.6935765974549658e+17,-3.2523272962271834e+17,-4043099451569483.5,1.1519330909217478e+16,6.978551204213226e+16
0.02,0,diag,noise,FE,10,-4450895578322833.5,-4.450895578322834e+16,1.7791485532843566e+16,-7969018233100917.0,-300992817645055.1,1085519140388028.5,4280503259718538.0
0.02,0,diag,noise,base,10,-8.673035443659926e+16,-8.673035443659927e+17,2.6935765974549658e+17,-3.2523272962271834e+17,-4043099451569483.5,1.1519330909217478e+16,6.978551204213226e+16
0.02,0,diag,noise,noise,10,1.0408228896254222e+16,1.0408228896254222e+17,1.895627023400857e+16,16997912401835.928,152049174908674.7,7250176045135188.0,3.74285852176446e+16
0.02,0,offdiag,FE,FE,90,1.7667689936312036e+16,1.5900920942680832e+18,9751691499204100.0,7153636605331855.0,1.2161988909089054e+16,1.941155940396557e+16,3.3118138382791984e+16
0.02,0,offdiag,FE,base,90,2.0270998392200694e+17,1.8243898552980625e+19,1.3877789701618955e+17,5.33870648176479e+16,1.0731195278963861e+17,2.6447872212557005e+17,3.504760186718361e+17
0.02,0,offdiag,FE,noise,90,-2294699926671528.0,-2.065229934004375e+17,8722541687039989.0,-1.7318443511082586e+16,-519600288711387.75,1461663537632945.5,4711974581203169.0
0.02,0,offdiag,base,FE,90,2.0270998392200694e+17,1.8243898552980625e+19,1.3877789701618957e+17,5.33870648176479e+16,1.0731195278963861e+17,2.6447872212557005e+17,3.504760186718361e+17
0.02,0,offdiag,base,base,90,2.565979420250937e+18,2.309381478225843e+20,1.8471420357913006e+18,5.573839563684544e+17,1.1965404961331405e+18,3.5035876216091766e+18,5.392130746397302e+18
0.02,0,offdiag,base,noise,90,-3.1087742942891556e+16,-2.79789686486024e+18,1.2336141884141158e+17,-2.2607190024149606e+17,-7789513046639870.0,1.568963280292953e+16,5.392721970013973e+16
0.02,0,offdiag,noise,FE,90,-2294699926671527.5,-2.0652299340043747e+17,8722541687039990.0,-1.7318443511082586e+16,-519600288711387.75,1461663537632945.5,4711974581203169.0
0.02,0,offdiag,noise,base,90,-3.108774294289156e+16,-2.7978968648602404e+18,1.2336141884141158e+17,-2.2607190024149606e+17,-7789513046639870.0,1.568963280292953e+16,5.392721970013973e+16
0.02,0,offdiag,noise,noise,90,-308936121742368.6,-2.7804250956813176e+16,3759011374070319.5,-2493631220655413.0,-351619057893154.06,60248276500961.37,979599458191801.8
0.05,0,diag,FE,FE,10,1.4158955517209424e+17,1.4158955517209423e+18,1.5208895872391667e+17,6.482436368947128e+16,7.68690472175854e+16,1.282771692370949e+17,2.0518972574241773e+17
0.05,0,diag,FE,base,10,4.9714280478482394e+17,4.971428047848239e+18,2.998073375162177e+17,1.527494752320604e+17,2.8819127341199488e+17,7.433273219475653e+17,8.436882072000152e+17
0.05,0,diag,FE,noise,10,-2.7667176427572692e+16,-2.766717642757269e+17,1.1062939351890736e+17,-4.595052045578888e+16,-2052332492283330.5,5762098986772088.0,2.504072041726239e+16
0.05,0,diag,base,FE,10,4.9714280478482394e+17,4.971428047848239e+18,2.998073375162177e+17,1.527494752320604e+17,2.8819127341199488e+17,7.433273219475653e+17,8.436882072000152e+17
0.05,0,diag,base,base,10,4.3769160509680517e+18,4.376916050968052e+19,4.437903242082726e+18,5.0505808195532864e+17,1.3291308406699523e+18,5.06842308533121e+18,8.812386841659742e+18
0.05,0,diag,base,noise,10,-1.989027189472121e+17,-1.9890271894721208e+18,6.129339556285164e+17,-7.80665544724648e+17,-1.0613134306084302e+16,2.485444692397354e+16,1.6127334324830762e+17
0.05,0,diag,noise,FE,10,-2.7667176427572692e+16,-2.766717642757269e+17,1.1062939351890736e+17,-4.595052045578888e+16,-2052332492283330.5,5762098986772088.0,2.504072041726239e+16
0.05,0,diag,noise,base,10,-1.989027189472121e+17,-1.9890271894721208e+18,6.129339556285164e+17,-7.80665544724648e+17,-1.0613134306084302e+16,2.485444692397354e+16,1.6127334324830762e+17
0.05,0,diag,noise,noise,10,5.7231692141234216e+16,5.7231692141234214e+17,1.0178654953165062e+17,97470959138024.33,784702096478685.5,4.008207268050063e+16,2.254890425025666e+17
0.05,0,offdiag,FE,FE,90,1.0995347033893197e+17,9.895812330503877e+18,6.044321774292198e+16,4.472077612814045e+16,7.604856522805758e+16,1.2087460628379886e+17,2.0648064002799446e+17
0.05,0,offdiag,FE,base,90,5.0677742118042534e+17,4.560996790623828e+19,3.4787617615164576e+17,1.315892417792098e+17,2.640710335391039e+17,6.611584059633457e+17,8.821954028647407e+17
0.05,0,offdiag,FE,noise,90,-1.360220101848134e+16,-1.2241980916633206e+18,5.193627123314019e+16,-1.076614293823261e+17,-3449146206083108.5,8007053667754830.0,2.7287484783604864e+16
0.05,0,offdiag,base,FE,90,5.0677742118042534e+17,4.560996790623828e+19,3.478761761516457e+17,1.315892417792098e+17,2.640710335391039e+17,6.611584059633457e+17,8.821954028647407e+17
0.05,0,offdiag,base,base,90,2.5659714273318354e+18,2.3093742845986518e+20,1.8470803686962145e+18,5.583477422179567e+17,1.195576710283637e+18,3.5035876216091766e+18,5.392130746397302e+18
