s,m,diag,compA,compB,count,mean,sum,std,pct10,pct25,pct75,pct90
0.02,0,diag,FE,FE,10,2.341296446278722e-05,0.0002341296446278722,1.9520108058591673e-05,1.0175728443662142e-05,1.3008548705356242e-05,2.392186095690846e-05,3.362034344127119e-05
0.02,0,diag,FE,base,10,0.00017703676905142797,0.0017703676905142798,0.0001275303174567855,1.1184717513093453e-05,6.27544567257475e-05,0.00026662210952286126,0.0003148083410630473
0.02,0,diag,FE,noise,10,3.014997148537592e-06,3.014997148537592e-05,1.2569034693434792e-05,-3.8300052099152914e-06,-1.9776670958480103e-06,6.282123519451605e-07,7.642302653705375e-06
0.02,0,diag,base,FE,10,0.00017703676905142797,0.0017703676905142798,0.0001275303174567855,1.1184717513093453e-05,6.27544567257475e-05,0.00026662210952286126,0.0003148083410630473
0.02,0,diag,base,base,10,0.0035195339652779245,0.035195339652779246,0.004082542980127217,8.001589972950074e-05,0.0005303060807054183,0.004853247452550295,0.006088731379369079
0.02,0,diag,base,noise,10,-1.7848901080067667e-05,-0.00017848901080067667,5.62355748291198e-05,-5.559370472133108e-05,-1.8809500827607656e-05,1.0598877882092654e-06,2.0458405117089428e-05
0.02,0,diag,noise,FE,10,3.014997148537592e-06,3.014997148537592e-05,1.2569034693434792e-05,-3.8300052099152914e-06,-1.9776670958480103e-06,6.282123519451605e-07,7.642302653705375e-06
0.02,0,diag,noise,base,10,-1.7848901080067667e-05,-0.00017848901080067667,5.62355748291198e-05,-5.559370472133108e-05,-1.8809500827607656e-05,1.0598877882092654e-06,2.0458405117089428e-05
0.02,0,diag,noise,noise,10,3.7678440999585103e-06,3.76784409995851e-05,6.7649411876055725e-06,2.5660062032220587e-08,1.219391739357318e-07,3.641905671161618e-06,9.792293411984274e-06
0.02,0,offdiag,FE,FE,90,1.9200144693443505e-05,0.0017280130224099155,9.598885877925245e-06,6.867112385955154e-06,1.3318019991900695e-05,2.2677113278609047e-05,3.387066767767205e-05
0.02,0,offdiag,FE,base,90,0.00018731345414195417,0.016858210872775874,0.00014538116410981516,1.4997334201376368e-05,7.36167013716824e-05,0.0002726946603527716,0.00037172386688667233
0.02,0,offdiag,FE,noise,90,8.999086248212026e-07,8.099177623390823e-05,5.846687953757039e-06,-4.081281368848825e-06,-1.7007931067125922e-06,8.542428530529217e-07,5.9679272937784265e-06
0.02,0,offdiag,base,FE,90,0.00018731345414195417,0.016858210872775874,0.00014538116410981518,1.4997334201376368e-05,7.36167013716824e-05,0.0002726946603527716,0.00037172386688667233
0.02,0,offdiag,base,base,90,0.0020133277091395774,0.18119949382256195,0.0021153066686995492,-1.5777218104420236e-30,0.00032200015374375803,0.003502156674868709,0.005289591046166927
0.02,0,offdiag,base,noise,90,1.4095324811334843e-05,0.0012685792330201359,7.213046426349092e-05,-3.455983566602301e-05,-3.119217356095766e-06,5.634767629170109e-06,6.885629201418305e-05
0.02,0,offdiag,noise,FE,90,8.999086248212024e-07,8.099177623390822e-05,5.846687953757038e-06,-4.081281368848825e-06,-1.7007931067125922e-06,8.542428530529217e-07,5.9679272937784265e-06
0.02,0,offdiag,noise,base,90,1.4095324811334843e-05,0.0012685792330201359,7.213046426349092e-05,-3.455983566602301e-05,-3.119217356095766e-06,5.634767629170109e-06,6.885629201418305e-05
0.02,0,offdiag,noise,noise,90,-2.0188636417487293e-07,-1.8169772775738564e-05,1.1936740165687338e-06,-4.765289441486577e-07,-2.4792678165870416e-07,4.9063208640421045e-08,3.8439801549409245e-07
0.05,0,diag,FE,FE,10,0.00014297918097289336,0.0014297918097289336,0.00012160966498407924,6.205082045444127e-05,7.953720488867893e-05,0.00014632255948299452,0.00020160865340628615
0.05,0,diag,FE,base,10,0.0004382915729515347,0.004382915729515347,0.0003157622500759858,2.74624175792778e-05,0.0001540271595580948,0.0006803585301501414,0.0007729838152309157
0.05,0,diag,FE,noise,10,1.8556530527732e-05,0.00018556530527731997,7.86365217692704e-05,-2.2105812124235455e-05,-1.219394889261202e-05,3.2052955531173855e-06,4.6740503219467415e-05
