,ID,ID_degree,center_year,window,bin
0,140,1,2001,3,"(-0.24, 0.01]"
1,207,2,2001,3,"(0.26, 0.51]"
2,215,14,2001,3,"(1.01, 1.26]"
3,256,6,2001,3,"(0.76, 1.01]"
4,314,3,2001,3,"(0.26, 0.51]"
5,330,18,2001,3,"(1.01, 1.26]"
6,355,3,2001,3,"(0.26, 0.51]"
7,413,82,2001,3,"(1.76, 2.01]"
8,488,2,2001,3,"(0.26, 0.51]"
9,546,22,2001,3,"(1.26, 1.51]"
10,553,2,2001,3,"(0.26, 0.51]"
11,561,2,2001,3,"(0.26, 0.51]"
12,678,76,2001,3,"(1.76, 2.01]"
13,694,49,2001,3,"(1.51, 1.76]"
14,710,1,2001,3,"(-0.24, 0.01]"
15,728,3,2001,3,"(0.26, 0.51]"
16,769,2,2001,3,"(0.26, 0.51]"
17,793,252,2001,3,"(2.26, 2.51]"
18,801,2,2001,3,"(0.26, 0.51]"
19,819,12,2001,3,"(1.01, 1.26]"
20,835,14,2001,3,"(1.01, 1.26]"
21,884,28,2001,3,"(1.26, 1.51]"
22,991,1,2001,3,"(-0.24, 0.01]"
23,1163,3,2001,3,"(0.26, 0.51]"
24,1189,1,2001,3,"(-0.24, 0.01]"
25,1445,4,2001,3,"(0.51, 0.76]"
26,1668,2,2001,3,"(0.26, 0.51]"
27,2641,3,2001,3,"(0.26, 0.51]"
28,2880,34,2001,3,"(1.51, 1.76]"
29,2906,3,2001,3,"(0.26, 0.51]"
30,2922,1,2001,3,"(-0.24, 0.01]"
31,2955,1,2001,3,"(-0.24, 0.01]"
32,2971,22,2001,3,"(1.26, 1.51]"
33,2989,1,2001,3,"(-0.24, 0.01]"
34,3011,2,2001,3,"(0.26, 0.51]"
35,3029,1,2001,3,"(-0.24, 0.01]"
36,3060,113,2001,3,"(2.01, 2.26]"
37,3094,16,2001,3,"(1.01, 1.26]"
38,3102,37,2001,3,"(1.51, 1.76]"
39,3110,14,2001,3,"(1.01, 1.26]"
40,3128,21,2001,3,"(1.26, 1.51]"
41,3136,9,2001,3,"(0.76, 1.01]"
42,3144,9,2001,3,"(0.76, 1.01]"
43,3151,1,2001,3,"(-0.24, 0.01]"
44,3169,6,2001,3,"(0.76, 1.01]"
45,3193,3,2001,3,"(0.26, 0.51]"
46,3219,9,2001,3,"(0.76, 1.01]"
47,3441,22,2001,3,"(1.26, 1.51]"
48,3516,2,2001,3,"(0.26, 0.51]"
49,3524,21,2001,3,"(1.26, 1.51]"
50,3698,3,2001,3,"(0.26, 0.51]"
51,3706,1250,2001,3,"(3.01, 3.26]"
52,3714,4,2001,3,"(0.51, 0.76]"
53,3771,2,2001,3,"(0.26, 0.51]"
54,3797,2,2001,3,"(0.26, 0.51]"
55,3854,1,2001,3,"(-0.24, 0.01]"
56,4035,2,2001,3,"(0.26, 0.51]"
57,4043,4,2001,3,"(0.51, 0.76]"
58,4092,486,2001,3,"(2.51, 2.76]"
59,4100,6,2001,3,"(0.76, 1.01]"
60,4118,2,2001,3,"(0.26, 0.51]"
61,4142,4,2001,3,"(0.51, 0.76]"
62,4159,7,2001,3,"(0.76, 1.01]"
63,4266,148,2001,3,"(2.01, 2.26]"
64,4315,3,2001,3,"(0.26, 0.51]"
65,4365,1,2001,3,"(-0.24, 0.01]"
66,4381,5,2001,3,"(0.51, 0.76]"
