PYOD,YEAR,ID,VART
AD,1997,4204,283153579
AD,1998,4282,305764758
AE,1997,4477,984986518
AE,1998,4596,1212073790
AF,1997,71,17153582
AF,1998,68,12263807
AG,1997,124,22880624
AG,1998,118,2771294
AI,1997,66,1486307
AI,1998,83,4445669
AL,1997,203,14608769
AL,1998,205,17048242
AM,1997,289,25643177
AM,1998,319,22096251
AN,1997,474,39753357
AN,1998,501,25620523
AO,1997,994,266785966
AO,1998,1141,206810352
AR,1997,3696,1613214757
AR,1998,3919,1756176156
AT,1997,13429,4621213578
AT,1998,14299,5253800788
AU,1997,5497,1926635956
AU,1998,5829,1810684004
AW,1997,92,14953951
AW,1998,110,6379066
AZ,1997,170,25905626
AZ,1998,276,36035597
BA,1997,283,25658403
BA,1998,383,36744843
BB,1997,219,7589142
BB,1998,241,9417059
BD,1997,936,402708589
BD,1998,936,477935106
BF,1997,2353,157647707
BF,1998,2425,188318630
BG,1997,1630,315786676
BG,1998,1905,394854262
BH,1997,1179,170739677
BH,1998,1097,150185216
BI,1997,172,8903692
BI,1998,219,12412537
BJ,1997,2968,159437941
BJ,1998,3219,189622765
BM,1997,238,24527678
BM,1998,269,45248000
BN,1997,163,32136419
BN,1998,201,146275089
BO,1997,350,63664055
BO,1998,374,51826438
BR,1997,5849,3173658787
BR,1998,6071,3634805922
BS,1997,298,59459683
BS,1998,291,48566315
BT,1997,13,384783
BT,1998,10,2146995
BW,1997,81,16916650
BW,1998,85,15388868
BY,1997,645,88672914
BY,1998,705,89410843
BZ,1997,49,9216833
BZ,1998,59,9770655
CA,1997,11299,3638360099
CA,1998,12094,3515700143
CD,1997,835,53338292
CD,1998,710,46059132
CF,1997,984,49506022
CF,1998,1066,53540227
CG,1997,2808,210868695
CG,1998,3330,271607167
CH,1997,42951,14463095660
CH,1998,44346,15637176716
CI,1997,7425,1388397155
CI,1998,7761,1578617466
CL,1997,2612,958553521
CL,1998,2695,1136924864
CM,1997,5989,686757709
CM,1998,6314,780013172
CN,1997,12775,8955145161
CN,1998,13510,9519397259
CO,1997,1713,680203050
CO,1998,1742,659465218
CR,1997,612,118974303
CR,1998,634,138372096
CU,1997,514,248030062
CU,1998,534,287069042
CV,1997,231,21948752
CV,1998,236,9874411
CY,1997,2066,162859873
CY,1998,2157,180340974
CZ,1997,6375,1666790694
CZ,1998,7100,1906741067
DE,1997,56969,80990566354
DE,1998,58334,89315244951
DJ,1997,1315,48600704
DJ,1998,1266,52717379
DK,1997,15460,4304822600
DK,1998,15819,4457528397
DM,1997,137,5301745
DM,1998,137,8754260
DO,1997,606,110323517
DO,1998,630,124280548
DZ,1997,10481,3963021986
DZ,1998,10213,3781387268
EC,1997,878,213998885
EC,1998,928,181610514
EE,1997,973,93978670
EE,1998,1160,117864768
EG,1997,4135,1484253105
EG,1998,4342,1571370948
ER,1997,80,12703999
ER,1998,72,8465699
ES,1997,43341,36935409367
ES,1998,45179,42594643192
ET,1997,481,56633049
ET,1998,496,67305905
FI,1997,7563,3013660959
FI,1998,7796,3464934702
FJ,1997,92,4104211
